ebaotstarbekas/ADJ,administratiivne/ADJ,jaotus/NOUN
vanad/ADJ,india/ADJ,maalid/NOUN
tubli/ADJ,rahvusvaheline/ADJ,trupp/NOUN
Noor/ADJ,ameerika/ADJ,rezhissöör/NOUN
iseseisvad/ADJ,improvisatoorsed/ADJ,arendused/NOUN
olulisema/ADJ,ameerika/ADJ,luuletaja/NOUN
esimest/ADJ,suurt/ADJ,sissemakset/NOUN
varasem/ADJ,korralik/ADJ,suhtlemine/NOUN
iga-aastast/ADJ,tõsist/ADJ,rassimist/NOUN
jahe/ADJ,raskemeelne/ADJ,maailm/NOUN
mullune/ADJ,kahekordne/ADJ,maailmameister/NOUN
kõrvetav/ADJ,subtroopiline/ADJ,päike/NOUN
tervele/ADJ,20./ADJ,sajandile/NOUN
võimas/ADJ,vana/ADJ,emahunt/NOUN
külm/ADJ,selge/ADJ,aprillipäev/NOUN
puhasvalgesse/ADJ,pidulikku/ADJ,härmatisse/NOUN
seesugust/ADJ,alalhoidlikku/ADJ,käsitluslaadi/NOUN
meeterüheksakümnese/ADJ,sinisilmse/ADJ,grusiini/NOUN
seesugune/ADJ,kontseptuaalne/ADJ,defekt/NOUN
selges/ADJ,eesti/ADJ,keeles/NOUN
sitta/ADJ,hingelist/ADJ,pärandust/NOUN
parimal/ADJ,võimalikul/ADJ,viisil/NOUN
võimalikke/ADJ,omavahelisi/ADJ,mõjusid/NOUN
olulisemaid/ADJ,majanduspoliitilisi/ADJ,eesmärke/NOUN
aktiivset/ADJ,majanduspoliitilist/ADJ,sekkumist/NOUN
väiksem/ADJ,sotsiaalne/ADJ,stabiilsus/NOUN
väiksem/ADJ,sotsiaalne/ADJ,sidusus/NOUN
väiksem/ADJ,sotsiaalne/ADJ,sidusus/NOUN
üldist/ADJ,tervislikku/ADJ,seisundit/NOUN
suurem/ADJ,poliitiline/ADJ,ebastabiilsus/NOUN
Suurema/ADJ,sotsiaalse/ADJ,ebastabiilsusega/NOUN
Suurema/ADJ,üldise/ADJ,maksumäära/NOUN
suuremad/ADJ,majanduslikud/ADJ,ressursid/NOUN
võimalikule/ADJ,kaudsele/ADJ,mõjule/NOUN
võimalikud/ADJ,omavahelised/ADJ,mõjud/NOUN
pööratud/ADJ,U-kujuline/ADJ,seos/NOUN
tavapärane/ADJ,tugev/ADJ,seos/NOUN
olulise/ADJ,negatiivse/ADJ,mõju/NOUN
suurema/ADJ,etnilise/ADJ,heterogeensuse/NOUN
lugematud/ADJ,eesti/ADJ,taidlejad/NOUN
uut/ADJ,värsket/ADJ,aega/NOUN
kuulus/ADJ,soome/ADJ,kirjandusteadlane/NOUN
keerulised/ADJ,jaapanipärased/ADJ,viisakusvormelid/NOUN
tänase/ADJ,eesti/ADJ,rahva/NOUN
kohalikud/ADJ,väikesed/ADJ,asjad/NOUN
Ilusas/ADJ,sinises/ADJ,kostüümis/NOUN
kohustuslik/ADJ,suvine/ADJ,praktika/NOUN
õrna/ADJ,valge/ADJ,nina/NOUN
järjekordse/ADJ,ülivõimsa/ADJ,tippveini/NOUN
täisväärtusliku/ADJ,seitsmenda/ADJ,koha/NOUN
künklikul/ADJ,mändidealusel/ADJ,maal/NOUN
väike/ADJ,kokkupandav/ADJ,palkmaja/NOUN
viletsama/ADJ,majandusliku/ADJ,järjega/NOUN
uue/ADJ,vaskse/ADJ,kuue/NOUN
kasutuks/ADJ,deklaratiivseks/ADJ,aktiks/NOUN
lihtne/ADJ,psüühiline/ADJ,tõrge/NOUN
õhuke/ADJ,tahke/ADJ,kirme/NOUN
külma/ADJ,uduse/ADJ,ilmaga/NOUN
suur/ADJ,sajaruutmeetrine/ADJ,liivakast/NOUN
Üksikud/ADJ,väikesed/ADJ,põllumajandustootjad/NOUN
pikem/ADJ,piiritagune/ADJ,kogemus/NOUN
väheseid/ADJ,universaalseid/ADJ,meelelahutajaid/NOUN
Väiksed/ADJ,lihtsad/ADJ,asjad/NOUN
väärikaks/ADJ,sportlikuks/ADJ,harrastuseks/NOUN
sooja/ADJ,kevadise/ADJ,mullaga/NOUN
jaapani/ADJ,minimalistliku/ADJ,ruumikujundusega/NOUN
suur/ADJ,upakil/ADJ,iirlasetagumik/NOUN
pikki/ADJ,valgeid/ADJ,pruutkleite/NOUN
suur/ADJ,ingliskeelne/ADJ,kiri/NOUN
taolise/ADJ,maa-aluse/ADJ,süsteemi/NOUN
suuri/ADJ,sõjateemalisi/ADJ,plakateid/NOUN
seletamatu/ADJ,hõrk/ADJ,aroom/NOUN
mõjukaid/ADJ,noori/ADJ,tarbijaid/NOUN
tänase/ADJ,maailmakuulsa/ADJ,sherry/NOUN
Sügavatele/ADJ,perekondlikele/ADJ,traditsioonidele/NOUN
suurepärast/ADJ,valget/ADJ,veini/NOUN
kuum/ADJ,Vahemere-äärne/ADJ,rannik/NOUN
ammuse/ADJ,hea/ADJ,sõbra/NOUN
vahvaid/ADJ,metsahõngulisi/ADJ,eelroogi/NOUN
aedlinlikke/ADJ,kaarjaid/ADJ,vaateid/NOUN
ühtset/ADJ,arhitektuurilist/ADJ,ilmet/NOUN
nn/ADJ,pime/ADJ,asi/NOUN
pehmete/ADJ,valgete/ADJ,käte/NOUN
vana/ADJ,hea/ADJ,vabaduseaja/NOUN
Kitsal/ADJ,kolmnurksel/ADJ,krundil/NOUN
samalaadsed/ADJ,diplomaatilised/ADJ,sanktsioonid/NOUN
tõenäolisemalt/ADJ,maapealset/ADJ,päritolu/NOUN
salajane/ADJ,ametlik/ADJ,hoiatus/NOUN
prantsuse/ADJ,gurmaanlikku/ADJ,stiili/NOUN
uus/ADJ,rakenduslik/ADJ,kõrgkool/NOUN
praeguse/ADJ,400-numbrise/ADJ,digitaaljaama/NOUN
endiste/ADJ,suurte/ADJ,kruntide/NOUN
Järgmise/ADJ,suurema/ADJ,üritusena/NOUN
esimeseks/ADJ,ametlikuks/ADJ,teateks/NOUN
samasugune/ADJ,abitu/ADJ,kurbus/NOUN
tolerantse/ADJ,harmoonilise/ADJ,ühiskonna/NOUN
tugeva/ADJ,kultuurilise/ADJ,baasiga/NOUN
selget/ADJ,poliitilist/ADJ,otsust/NOUN
tänasel/ADJ,rassilisel/ADJ,segregatsioonil/NOUN
seesama/ADJ,sotsiaalne/ADJ,diferentseerumine/NOUN
Raskesse/ADJ,rahalisse/ADJ,seisu/NOUN
sealse/ADJ,suurima/ADJ,tööandja/NOUN
liberaalse/ADJ,haldusterritoriaalse/ADJ,reformi/NOUN
esimese/ADJ,rahvusvahelise/ADJ,Becketti-festivali/NOUN
ameerika/ADJ,kuulsaima/ADJ,popkunstniku/NOUN
tavalisest/ADJ,reedeõhtusest/ADJ,liiklusvoost/NOUN
uued/ADJ,kiired/ADJ,sõiduvahendid/NOUN
läinudnädalasest/ADJ,ootamatust/ADJ,haigushoost/NOUN
kohaliku/ADJ,palestiina/ADJ,julgeolekuväe/NOUN
ihaldusväärse/ADJ,välispoliitilise/ADJ,trofeeni/NOUN
õblukese/ADJ,blondi/ADJ,naise/NOUN
samasugust/ADJ,kehalist/ADJ,vormi/NOUN
head/ADJ,füüsilist/ADJ,vormi/NOUN
saledatel/ADJ,treenimata/ADJ,inimestel/NOUN
mõõdukas/ADJ,füüsiline/ADJ,aktiivsus/NOUN
Noortel/ADJ,tervetel/ADJ,inimestel/NOUN
viieminutilisest/ADJ,reipast/ADJ,kõnnist/NOUN
Viimast/ADJ,viieminutilist/ADJ,jooksu/NOUN
suurepärase/ADJ,tunniajalise/ADJ,materjali/NOUN
Viimase/ADJ,mängueelne/ADJ,öö/NOUN
spetsiifilist/ADJ,plekilist/ADJ,tööriietust/NOUN
suuri/ADJ,tähendusrikkaid/ADJ,kujundeid/NOUN
erakordsed/ADJ,loomingulised/ADJ,aktiviteedid/NOUN
suured/ADJ,kunstilised/ADJ,liikumised/NOUN
vanade/ADJ,tuttavate/ADJ,kivipallur/NOUN
Esimene/ADJ,heategevuslik/ADJ,kava/NOUN
parimal/ADJ,võimalikul/ADJ,viisil/NOUN
iroonilise/ADJ,pooletunnise/ADJ,saatega/NOUN
kummalisse/ADJ,postsovetlikku/ADJ,olukorda/NOUN
tihedate/ADJ,mustade/ADJ,vuntside/NOUN
karmide/ADJ,meeldivate/ADJ,näojoontega/NOUN
kaasaegse/ADJ,militaarse/ADJ,islamimaailma/NOUN
Shikki/ADJ,euroopalikku/ADJ,ülikonda/NOUN
kiired/ADJ,rebenenud/ADJ,pilved/NOUN
tähtsamaid/ADJ,eesti/ADJ,fotograafe/NOUN
kivikõvale/ADJ,külmale/ADJ,maapinnale/NOUN
kägardunud/ADJ,elutut/ADJ,keha/NOUN
uus/ADJ,noor/ADJ,peremees/NOUN
aeglased/ADJ,valged/ADJ,pilved/NOUN
jahedasse/ADJ,laia/ADJ,voodisse/NOUN
kägardunud/ADJ,elutut/ADJ,keha/NOUN
kühmulise/ADJ,kadakase/ADJ,kepiga/NOUN
pikki/ADJ,heledaid/ADJ,juukseid/NOUN
õhukest/ADJ,valget/ADJ,juuksesalku/NOUN
suur/ADJ,hall/ADJ,hobune/NOUN
heast/ADJ,eesti/ADJ,luulest/NOUN
ainuke/ADJ,tõsine/ADJ,väärtus/NOUN
raskete/ADJ,tuliste/ADJ,äärtega/NOUN
üksainus/ADJ,täpne/ADJ,kehaliigutus/NOUN
viimaseid/ADJ,valgeid/ADJ,laike/NOUN
sügav/ADJ,sinine/ADJ,rahu/NOUN
märja/ADJ,villase/ADJ,riide/NOUN
omaaegset/ADJ,ilmutuslikku/ADJ,tähendust/NOUN
pehme/ADJ,valge/ADJ,lume/NOUN
suure/ADJ,sisemise/ADJ,vabadusega/NOUN
selges/ADJ,eesti/ADJ,keeles/NOUN
suure/ADJ,verise/ADJ,tüki/NOUN
esimeste/ADJ,soojade/ADJ,nirede/NOUN
esimest/ADJ,ettevaatlikku/ADJ,suudlust/NOUN
hiiglasliku/ADJ,kaarja/ADJ,väravaga/NOUN
uute/ADJ,hämarate/ADJ,koridoride/NOUN
valge/ADJ,linane/ADJ,ülikond/NOUN
paksu/ADJ,valge/ADJ,vatitekiga/NOUN
üksik/ADJ,lumivalge/ADJ,hammas/NOUN
kerge/ADJ,vene/ADJ,aktsendiga/NOUN
tihedad/ADJ,mustad/ADJ,karvad/NOUN
pikkade/ADJ,narmastega/NOUN,punane/ADJ
ühtlase/ADJ,niiske/ADJ,massi/NOUN
suurest/ADJ,tühjast/ADJ,saalist/NOUN
esimese/ADJ,suurema/ADJ,ehitisena/NOUN
imeilus/ADJ,noor/ADJ,naine/NOUN
valgest/ADJ,magusast/ADJ,lögast/NOUN
viimasteks/ADJ,olulisemateks/ADJ,ehitisteks/NOUN
tavalise/ADJ,pisikese/ADJ,lambikese/NOUN
helepunane/ADJ,villane/ADJ,rätik/NOUN
pikk/ADJ,hele/ADJ,juuksekahl/NOUN
liikumatu/ADJ,sügise-eelne/ADJ,park/NOUN
uhiuus/ADJ,pruun/ADJ,öökapp/NOUN
lühikesed/ADJ,tumedad/ADJ,juuksed/NOUN
pikk/ADJ,heledapäine/ADJ,poiss/NOUN
teravad/ADJ,valged/ADJ,hambad/NOUN
laia/ADJ,märga/ADJ,lund/NOUN
pikk/ADJ,sinine/ADJ,seelik/NOUN
Suures/ADJ,tühjas/ADJ,akvaariumis/NOUN
väiksem/ADJ,põhjapoolne/ADJ,haru/NOUN
vanad/ADJ,sanskriti/ADJ,tekstid/NOUN
suurim/ADJ,ööpäevane/ADJ,temperatuurikõikumine/NOUN
kristallpuhast/ADJ,vene/ADJ,keelt/NOUN
ainukesed/ADJ,mõistlikud/ADJ,inimesed/NOUN
lihtsatele/ADJ,venekeelsetele/ADJ,lausetele/NOUN
uhkes/ADJ,keisriaegses/ADJ,sõdurimundris/NOUN
usaldusväärne/ADJ,rahvusvaheline/ADJ,maine/NOUN
pikad/ADJ,kookus/ADJ,sabasuled/NOUN
ilusa/ADJ,pehme/ADJ,käpa/NOUN
ahne/ADJ,rohelise/ADJ,silmaga/NOUN
kaasaegse/ADJ,bossima/ADJ,muusikuga/NOUN
Suur/ADJ,kirju/ADJ,kana/NOUN
eesti/ADJ,tuntumaid/ADJ,filme/NOUN
suur/ADJ,kirju/ADJ,kana/NOUN
suur/ADJ,punane/ADJ,hari/NOUN
uus/ADJ,valge/ADJ,vaip/NOUN
Suur/ADJ,kirju/ADJ,kana/NOUN
vanad/ADJ,head/ADJ,ajad/NOUN
üksik/ADJ,vanem/ADJ,meesterahvas/NOUN
eesti/ADJ,tuntuim/ADJ,reportaazhifotograaf/NOUN
jahedasse/ADJ,laia/ADJ,voodisse/NOUN
soe/ADJ,alasti/ADJ,keha/NOUN
pulstis/ADJ,blondid/ADJ,juuksed/NOUN
põhjalikuks/ADJ,teaduslikuks/ADJ,läbimurdeks/NOUN
n-mõõtmeliste/ADJ,kõverate/ADJ,ruumide/NOUN
Kolmanda/ADJ,üheksakordse/ADJ,maja/NOUN
noor/ADJ,valgepäine/ADJ,tütarlaps/NOUN
Kõrge/ADJ,esimene/ADJ,korrus/NOUN
Väike/ADJ,kollane/ADJ,teekond/NOUN
suures/ADJ,kirevas/ADJ,teekonnas/NOUN
suurte/ADJ,selgete/ADJ,silmadega/NOUN
lähimasse/ADJ,halli/ADJ,majamürakasse/NOUN
Teine/ADJ,rõõmustav/ADJ,suundumus/NOUN
ühtsesse/ADJ,virtuaalsesse/ADJ,ettevõttesse/NOUN
järjekordsete/ADJ,uute/ADJ,arvutiviguritega/NOUN
üheülbalisi/ADJ,arhitektuurilis-struktuurseid/ADJ,lahendusi/NOUN
sisemine/ADJ,struktuurne/ADJ,korraldus/NOUN
8-kanaliline/ADJ,16-bitine/ADJ,taimerlülitus/NOUN
528-baidine/ADJ,staatiline/ADJ,register/NOUN
sisemine/ADJ,hierarhiline/ADJ,korraldus/NOUN
head/ADJ,tehnilised/ADJ,näitajad/NOUN
kolmanda/ADJ,arhitektuurse/ADJ,suuna/NOUN
individuaalsete/ADJ,riistvaraliste/ADJ,ressurssidega/NOUN
autonoomne/ADJ,rööpne/ADJ,talitlus/NOUN
õige/ADJ,ajaline/ADJ,liikumine/NOUN
keerukate/ADJ,mitmetasemeliste/ADJ,mälusüsteemide/NOUN
peenekoeline/ADJ,dünaamiline/ADJ,dubleerimine/NOUN
jämedakoeline/ADJ,staatiline/ADJ,dubleerimine/NOUN
asünkroonses/ADJ,andmeskalaarses/ADJ,protsessoris/NOUN
struktuurilis-/ADJ,topoloogiline/ADJ,korraldus/NOUN
tavapärastes/ADJ,statistilistes/ADJ,analüüsides/NOUN
terves/ADJ,pikas/ADJ,protsessis/NOUN
võimalikud/ADJ,praktilised/ADJ,rakendused/NOUN
Põhilised/ADJ,turundusalased/ADJ,rakendused/NOUN
traditsioonilise/ADJ,demograafilise/ADJ,bloki/NOUN
Tänapäevased/ADJ,keerulised/ADJ,võrguseadmed/NOUN
suuremale/ADJ,üldisele/ADJ,veale/NOUN
sõltumatute/ADJ,lokaalsete/ADJ,alarmide/NOUN
põhilisi/ADJ,tugevaid/ADJ,külgi/NOUN
vanade/ADJ,lahendamata/ADJ,kuritegudega/NOUN
analoogilisi/ADJ,mittestandardseid/ADJ,vahendeid/NOUN
sotsiaalse/ADJ,konstruktivistliku/ADJ,pedagoogika/NOUN
järgmistest/ADJ,üldistest/ADJ,ülesannetest/NOUN
mängulist/ADJ,pangateemalist/ADJ,nääklemist/NOUN
omapärasest/ADJ,matemaatilisest/ADJ,objektist/NOUN
aeglasel/ADJ,500-megahertsilisel/ADJ,arvutil/NOUN
kohalikke/ADJ,ω-3-rasvhapeterikkaid/ADJ,söötasid/NOUN
polüküllastumata/ADJ,ühe-aluselised/ADJ,karboksüülhapped/NOUN
terminaalse/ADJ,seitsmenda/ADJ,süsinikuaatomi/NOUN
võimalikke/ADJ,looduslikke/ADJ,allikaid/NOUN
võimalikku/ADJ,positiivset/ADJ,mõju/NOUN
Tüüpilises/ADJ,läänelikus/ADJ,toiduratsioonis/NOUN
Esimesed/ADJ,sellealased/ADJ,uurimused/NOUN
järgmise/ADJ,keemilise/ADJ,koostise/NOUN
tubli/ADJ,3400-grammise/ADJ,tütre/NOUN
ilus/ADJ,eesti/ADJ,nimi/NOUN
noorte/ADJ,tervete/ADJ,katsealuste/NOUN
Rutiinses/ADJ,kliinilises/ADJ,praktikas/NOUN
osaline/ADJ,proteolüütiline/ADJ,modifitseerumine/NOUN
limaskestaaluseid/ADJ,infiltratiivseid/ADJ,naaste/NOUN
sõlmelisi/ADJ,tuumorilaadseid/ADJ,moodustisi/NOUN
haruldane/ADJ,haiguslik/ADJ,seisund/NOUN
parenhümatoosse/ADJ,pulmonaalse/ADJ,amüloidoosiga/NOUN
sümptomaatiline/ADJ,trahheobronhiaalne/ADJ,amüloidoos/NOUN
Endobronhiaalse/ADJ,tumoroidse/ADJ,AL-amüloidoosi/NOUN
alveoseptaalseks/ADJ,parenhümatoosseks/ADJ,amüloidoosiks/NOUN
Difuusse/ADJ,parenhümatoosse/ADJ,amüloidoosi/NOUN
ulatusliku/ADJ,nodulaarse/ADJ,amüloidoosi/NOUN
perekondliku/ADJ,amüloidse/ADJ,polüneuropaatiaga/NOUN
pulmonaalse/ADJ,vaskulaarse/ADJ,amüloidoosi/NOUN
Positiivsele/ADJ,histoloogilisele/ADJ,leiule/NOUN
oluliseks/ADJ,prognostiliseks/ADJ,teguriks/NOUN
sõlmeline/ADJ,parenhümatoosne/ADJ,amüloidoos/NOUN
Difuusne/ADJ,alveoseptaalne/ADJ,amüloidoos/NOUN
lihtsama/ADJ,standardse/ADJ,koormustesti/NOUN
keskmisel/ADJ,füüsilisel/ADJ,koormusel/NOUN
olulisi/ADJ,patoloogilisi/ADJ,kõrvalekaldeid/NOUN
väheseid/ADJ,põletikulisi/ADJ,muutusi/NOUN
endobronhiaalsele/ADJ,pahaloomulisele/ADJ,uudismoodustisele/NOUN
vähene/ADJ,produktiivne/ADJ,köha/NOUN
Praeguste/ADJ,rahulike/ADJ,toonide/NOUN
sümptomaatiline/ADJ,trahheobronhiaalne/ADJ,amüloidoos/NOUN
limaskestaalused/ADJ,infiltratiivsed/ADJ,naastud/NOUN
Endobronhiaalne/ADJ,tumoroidne/ADJ,amüloidoos/NOUN
õigeaegset/ADJ,morfoloogilist/ADJ,diagnostikat/NOUN
visuaalne/ADJ,makroskoopiline/ADJ,leid/NOUN
võimalikud/ADJ,mitteneurogeensed/ADJ,põhjused/NOUN
valkja/ADJ,paksu/ADJ,sademe/NOUN
suurim/ADJ,kahtlusalune/ADJ,tehing/NOUN
postganglionaarseid/ADJ,parasümpaatilisi/ADJ,retseptoreid/NOUN
kallimaid/ADJ,meditsiinilisi/ADJ,kuule/NOUN
spetsiaalsed/ADJ,portatiivsed/ADJ,ultraheliaparaadid/NOUN
seedetraktiväliste/ADJ,eosinofiilsete/ADJ,infiltratsioonide/NOUN
difuusset/ADJ,eosinofiilset/ADJ,gastroenteriiti/NOUN
üksikuid/ADJ,perekondlikke/ADJ,haigusjuhte/NOUN
eosinofiilse/ADJ,põletikulise/ADJ,protsessi/NOUN
eosinofiilne/ADJ,katioonne/ADJ,proteiin/NOUN
Eosinofiilne/ADJ,katioonne/ADJ,proteiin/NOUN
Tervel/ADJ,täiskasvanud/ADJ,inimesel/NOUN
tõenduspõhised/ADJ,kliinilised/ADJ,uuringud/NOUN
