musta/ADJ,tupruttava/ADJ,juna/NOUN
Vankka/ADJ,keskinäinen/ADJ,yksimielisyys/NOUN
Paikkakuntalainen/ADJ,28-vuotias/ADJ,nainen/NOUN
lievempää/ADJ,trooppista/ADJ,myrskyä/NOUN
tiettyjen/ADJ,elävien/ADJ,eläinten/NOUN
mahdolliset/ADJ,yksityiskohtaiset/ADJ,säännöt/NOUN
luotettavien/ADJ,sähköisten/ADJ,tiedonsiirto-/NOUN
keskeiset/ADJ,kansalliset/ADJ,säännökset/NOUN
yhteinen/ADJ,fonologinen/ADJ,järjestelmä/NOUN
tunnetuin/ADJ,yksittäinen/ADJ,kappaleensa/NOUN
yleisen/ADJ,taloudellisen/ADJ,edun/NOUN
uusia/ADJ,alueellisia/ADJ,mittareita/NOUN
tavoitteellista/ADJ,alueellista/ADJ,koheesiopolitiikkaa/NOUN
eräänlainen/ADJ,harmaa/ADJ,alue/NOUN
useita/ADJ,tieteellisiä/ADJ,esitelmiä/NOUN
nk./ADJ,identtiset/ADJ,kromosomikäsivarret/NOUN
seuraavaa/ADJ,suurta/ADJ,mullistusta/NOUN
subtrooppisten/ADJ,kosteiden/ADJ,metsien/NOUN
kanadalainen/ADJ,entinen/ADJ,ampumahiihtäjä/NOUN
ensimmäinen/ADJ,kanadalainen/ADJ,ampumahiihtäjä/NOUN
viimeinen/ADJ,pieni/ADJ,purkaus/NOUN
suuren/ADJ,Kansallisen/ADJ,Nukketeatterin/NOUN
useita/ADJ,kattavia/ADJ,tutkimuksia/NOUN
useita/ADJ,kattavia/ADJ,tutkimuksia/NOUN
riittävä/ADJ,teoreettinen/ADJ,koulutus/NOUN
suuret/ADJ,lääketieteelliset/ADJ,järjestöt/NOUN
uusi/ADJ,komea/ADJ,mies/NOUN
useammassa/ADJ,eri/ADJ,osavaltiossa/NOUN
tällaisen/ADJ,helpon/ADJ,herkun/NOUN
erityinen/ADJ,saksalainen/ADJ,turvamerkintä/NOUN
yleistä/ADJ,taloudellista/ADJ,etua/NOUN
tärkeä/ADJ,uusi/ADJ,tavoite/NOUN
lyhyenä/ADJ,tyhjänä/ADJ,aikana/NOUN
sellasta/ADJ,sekalaista/ADJ,peltiromua/NOUN
sellasii/ADJ,säälittävii/ADJ,luusereita/NOUN
semmoinen/ADJ,isompi/ADJ,kuva/NOUN
useita/ADJ,järkyttäviä/ADJ,henkirikoksia/NOUN
tunnettu/ADJ,suomalainen/ADJ,rauhanpuolustaja/NOUN
vanha/ADJ,kotoinen/ADJ,kanalaji/NOUN
Toinen/ADJ,uusi/ADJ,ongelma/NOUN
Ensimmäinen/ADJ,tärkeä/ADJ,asia/NOUN
tällanen/ADJ,kriittinen/ADJ,artikkeli/NOUN
Toinen/ADJ,tärkeä/ADJ,asia/NOUN
tuoreimmat/ADJ,tieteelliset/ADJ,tiedot/NOUN
uuden/ADJ,tieteellisen/ADJ,asiantuntemuksen/NOUN
Kolmas/ADJ,tärkeä/ADJ,asia/NOUN
tulevan/ADJ,teknologisen/ADJ,kehityksen/NOUN
elävien/ADJ,selkärankaisten/ADJ,eläinten/NOUN
tiukempia/ADJ,kansallisia/ADJ,toimenpiteitä/NOUN
eläviä/ADJ,selkärankaisia/ADJ,eläimiä/NOUN
Ensimmäiseen/ADJ,osittaiseen/ADJ,tarjouskilpailuun/NOUN
Seuraaviin/ADJ,osittaisiin/ADJ,tarjouskilpailuihin/NOUN
Viimeiseen/ADJ,osittaiseen/ADJ,tarjouskilpailuun/NOUN
Viimeinen/ADJ,maanpäällinen/ADJ,paratiisi/NOUN
walesilainen/ADJ,entinen/ADJ,jalkapalloilija/NOUN
lupaavimpia/ADJ,nuoria/ADJ,biisinkirjoittajia/NOUN
useita/ADJ,eri/ADJ,toimintatiloja/NOUN
tekstipohjainen/ADJ,graafinen/ADJ,muotoilu/NOUN
pitkulaista/ADJ,ohutta/ADJ,leipälevyä/NOUN
lukuisia/ADJ,pieniä/ADJ,tukholmalaisseuroja/NOUN
tavanomaisissa/ADJ,brittiläisissä/ADJ,rivitaloissa/NOUN
Ensimmäinen/ADJ,kirjallinen/ADJ,lähde/NOUN
28./ADJ,saksalaisen/ADJ,jalkaväkirykmentin/NOUN
ylimääräinen/ADJ,vuosittainen/ADJ,vero/NOUN
nykyaikaiset/ADJ,elektroniset/ADJ,tähtäimet/NOUN
suomalainen/ADJ,entinen/ADJ,hiihtäjä/NOUN
sellaiseen/ADJ,motoriseen/ADJ,yksikköön/NOUN
entinen/ADJ,italialainen/ADJ,maantiepyöräilijä/NOUN
erityinen/ADJ,elektronisvaikutteinen/ADJ,tyyli/NOUN
sodanaikaista/ADJ,poliittista/ADJ,johtoa/NOUN
entinen/ADJ,suomalainen/ADJ,jalkapalloilija/NOUN
useammalta/ADJ,eri/ADJ,isännöitsijätoimistolta/NOUN
millaisen/ADJ,ammatillisen/ADJ,koulutuksen/NOUN
isoa/ADJ,punaista/ADJ,paprikaa/NOUN
Ensimmäiset/ADJ,demokraattiset/ADJ,vaalit/NOUN
Varhaiskeskiaikaisen/ADJ,georgialaisen/ADJ,perinteen/NOUN
myyttisen/ADJ,ulkomaalaisen/ADJ,alkuperän/NOUN
korkea/ADJ,bysanttilainen/ADJ,kuropalates-arvonimi/NOUN
tärkein/ADJ,alueellinen/ADJ,suurvalta/NOUN
kuvitteellinen/ADJ,planeettojenvälinen/ADJ,hallitus/NOUN
Useimmat/ADJ,kyrilliset/ADJ,näppäinjärjestelyt/NOUN
Tyypillisessä/ADJ,venäläisessä/ADJ,kirjoituskoneessa/NOUN
entinen/ADJ,kanadalainen/ADJ,jääkiekkoilija/NOUN
varsinaista/ADJ,ehdollista/ADJ,rangaistusta/NOUN
läntisen/ADJ,paleartisen/ADJ,alueen/NOUN
löyhä/ADJ,maljamainen/ADJ,kuppi/NOUN
voimakas/ADJ,antipsykoottinen/ADJ,lääke/NOUN
pitkittäissuuntaisia/ADJ,ruskeita/ADJ,viiruja/NOUN
lukuisat/ADJ,koristeelliset/ADJ,puutalot/NOUN
alkuperäisestä/ADJ,suomenkielisestä/ADJ,nimestä/NOUN
alkuperäiseen/ADJ,ruotsinkieliseen/ADJ,kirjoitusasuun/NOUN
vierekkäisinä/ADJ,pystysuorina/ADJ,viivoina/NOUN
uuden/ADJ,miespuolisen/ADJ,hallitsijan/NOUN
sellainen/ADJ,poliittinen/ADJ,kulttuuri/NOUN
korkea-arvoista/ADJ,länsimaista/ADJ,johtajaa/NOUN
ensimmäinen/ADJ,suomalainen/ADJ,WSOP-voittaja/NOUN
Uraanipitoista/ADJ,radioaktiivista/ADJ,nestettä/NOUN
rikkinäisestä/ADJ,maanalaisesta/ADJ,putkesta/NOUN
uutta/ADJ,maksullista/ADJ,kanavaa/NOUN
uutta/ADJ,maksullista/ADJ,kanavaa/NOUN
massiivista/ADJ,ulkomaista/ADJ,apua/NOUN
koko/ADJ,kuluneen/ADJ,vuoden/NOUN
useisiin/ADJ,eri/ADJ,maihin/NOUN
keskeiset/ADJ,suuret/ADJ,kaupungit/NOUN
165-paikkainen/ADJ,MD-83-tyyppinen/ADJ,lentokone/NOUN
useiden/ADJ,myytyjen/ADJ,lääkeaineiden/NOUN
useita/ADJ,suomalaisia/ADJ,yrityksiä/NOUN
Turkulaista/ADJ,44-vuotiasta/ADJ,yritysjuristia/NOUN
minikokoisten/ADJ,mustien/ADJ,aukkojen/NOUN
minikokoisten/ADJ,mustien/ADJ,aukkojen/NOUN
vastaavan/ADJ,myönteisen/ADJ,päätöksen/NOUN
oma/ADJ,hyvä/ADJ,syynsäkin/NOUN
eri/ADJ,merenalaisen/ADJ,valokaapelin/NOUN
italialainen/ADJ,13-vuotias/ADJ,peliaddikti/NOUN
vanhanaikaisten/ADJ,puisten/ADJ,kattotikkaiden/NOUN
Kolmas/ADJ,tärkeä/ADJ,ihminen/NOUN
omasta/ADJ,pikkuruisesta/ADJ,pihasta/NOUN
keskimääräinen/ADJ,asukaskohtainen/ADJ,BKT/NOUN
heikkoon/ADJ,taloudelliseen/ADJ,tilanteeseen/NOUN
Kattava/ADJ,kahdenvälinen/ADJ,sopimus/NOUN
eräänlainen/ADJ,jokapäiväinen/ADJ,testi/NOUN
tällaiset/ADJ,rikolliset/ADJ,teot/NOUN
uutta/ADJ,asianmukaista/ADJ,työpaikkaa/NOUN
tuollaista/ADJ,jäykkää/ADJ,puutarhatonttu-poseerausta/NOUN
pelkältä/ADJ,nimelliseltä/ADJ,eleeltä/NOUN
uutta/ADJ,automaattista/ADJ,seuraamusjärjestelmää/NOUN
eräänlaista/ADJ,normatiivista/ADJ,harhakuvitelmaa/NOUN
lyhyen/ADJ,henkilökohtaisen/ADJ,huomautuksen/NOUN
Suuri/ADJ,eurooppalainen/ADJ,kansanedustaja/NOUN
viisas/ADJ,ranskalainen/ADJ,sananlaskukin/NOUN
todellinen/ADJ,kansallista/ADJ,urheilua/NOUN
Tällaisesta/ADJ,turmeltuneesta/ADJ,taipumuksesta/NOUN
suurimmista/ADJ,sallituista/ADJ,saaliista/NOUN
suurimmat/ADJ,sallitut/ADJ,saaliit/NOUN
ohjeellisten/ADJ,laajojen/ADJ,suuntaviivojen/NOUN
toisessa/ADJ,avoimessa/ADJ,kuulemismenettelyssä/NOUN
täydentäviä/ADJ,määrällisiä/ADJ,sijoitussääntöjä/NOUN
perinteisistä/ADJ,etuusperusteisista/ADJ,eläkkeistä/NOUN
yksityisiä/ADJ,maksuperusteisia/ADJ,järjestelmiä/NOUN
suurella/ADJ,eurooppalaisella/ADJ,joella/NOUN
ensimmäinen/ADJ,eurooppalainen/ADJ,asiakirja/NOUN
sotkuinen/ADJ,poliittinen/ADJ,kompromissi/NOUN
tämänkaltaiset/ADJ,erilliset/ADJ,säännökset/NOUN
erilaiset/ADJ,oikeudelliset/ADJ,järjestelmät/NOUN
suuria/ADJ,marmorisia/ADJ,ruutuja/NOUN
tyhjän/ADJ,lumisen/ADJ,jalkakäytävän/NOUN
ainoassa/ADJ,onnistuneessa/ADJ,asukuvassa/NOUN
terveellä/ADJ,nuorella/ADJ,ihmisellä/NOUN
toimiva/ADJ,pieni/ADJ,osanen/NOUN
Pieni/ADJ,punainen/ADJ,pisara/NOUN
tyypillisin/ADJ,vaikea/ADJ,ihminen/NOUN
yksinäistä/ADJ,seuraavaa/ADJ,aamua/NOUN
koko/ADJ,toisen/ADJ,iltani/NOUN
turhaa/ADJ,suurta/ADJ,pyyhettä/NOUN
suloista/ADJ,punaista/ADJ,nestettä/NOUN
lapsellisia/ADJ,tyttömäisiä/ADJ,kasvoja/NOUN
Pieni/ADJ,vihreä/ADJ,rakennus/NOUN
kaunis/ADJ,pikkuruinen/ADJ,kukkamaa/NOUN
soman/ADJ,pikku/ADJ,talon/NOUN
keltaista/ADJ,lämmintä/ADJ,palloa/NOUN
lempeän/ADJ,lämpimän/ADJ,tuulenvireen/NOUN
paksu/ADJ,harmaa/ADJ,höyhenpeite/NOUN
keski-ikäisille/ADJ,lihaville/ADJ,miehille/NOUN
tämmöinen/ADJ,ikävä/ADJ,tapahtuma/NOUN
tiettyä/ADJ,ikävää/ADJ,lisää/NOUN
tiettyihin/ADJ,ikäviin/ADJ,tilastoihin/NOUN
romanttisia/ADJ,kahdenkeskisiä/ADJ,hetkiä/NOUN
pitkiä/ADJ,filosofisia/ADJ,keskusteluja/NOUN
tuttuun/ADJ,lakoniseen/ADJ,sävyynsä/NOUN
kirkkaat/ADJ,kromiset/ADJ,kahvat/NOUN
nostalgisia/ADJ,vanhanaikaisia/ADJ,kodinkoneita/NOUN
oikeita/ADJ,paperisia/ADJ,kirjoja/NOUN
sininen/ADJ,kaikentuhoava/ADJ,tulva/NOUN
suuri/ADJ,hymyilevä/ADJ,aurinko/NOUN
valtava/ADJ,ruskea/ADJ,sukkula/NOUN
uusi/ADJ,yhtäkkinen/ADJ,järistys/NOUN
usean/ADJ,yhtäkkisen/ADJ,järistyksen/NOUN
lohdutonta/ADJ,punaista/ADJ,kivierämaata/NOUN
emansipatorisesta/ADJ,pikku/ADJ,huppelistani/NOUN
tarkat/ADJ,kirjalliset/ADJ,ohjeet/NOUN
kaikenlaiset/ADJ,mielenkiintoiset/ADJ,tapahtumat/NOUN
pieni/ADJ,savuinen/ADJ,kaupunki/NOUN
uudelle/ADJ,uljaalle/ADJ,yliopistolleen/NOUN
uusia/ADJ,ekologisia/ADJ,kierrätyskirjeitä/NOUN
uudet/ADJ,hienot/ADJ,shortsit/NOUN
Hyvää/ADJ,uutta/ADJ,vuotta/NOUN
Pisin/ADJ,juoksematon/ADJ,kauteni/NOUN
semmone/ADJ,pikku/ADJ,este/NOUN
pikku/ADJ,pikku/ADJ,eukosta/NOUN
Iso/ADJ,iso/ADJ,tuska/NOUN
ensimmäisellä/ADJ,mahdollisella/ADJ,pysäkillä/NOUN
maineikkailla/ADJ,pedagogisilla/ADJ,leluilla/NOUN
uutta/ADJ,suomalaista/ADJ,näytelmää/NOUN
muodikkailla/ADJ,ympäristöpoliittisilla/ADJ,syillä/NOUN
oman/ADJ,viimeisen/ADJ,kysymyksensä/NOUN
iso/ADJ,tyhjä/ADJ,aula/NOUN
omituinen/ADJ,vaimea/ADJ,jyrähdys/NOUN
helpposivelteinen/ADJ,öljypitoinen/ADJ,akrylaattimaali/NOUN
varjoisessa/ADJ,kosteahkossa/ADJ,kasvupaikassa/NOUN
oma/ADJ,seksuaalinen/ADJ,itsetuntonsa/NOUN
vanhaa/ADJ,kaunista/ADJ,tapaa/NOUN
kotimaista/ADJ,kaunokirjallista/ADJ,uutuutta/NOUN
huono/ADJ,seksuaalinen/ADJ,itsetunto/NOUN
uskottava/ADJ,itsenäinen/ADJ,puolustus/NOUN
senkäänvertaista/ADJ,kielitieteellistä/ADJ,asiantuntemusta/NOUN
omat/ADJ,rakkaat/ADJ,lapsenne/NOUN
pelkkä/ADJ,virallinen/ADJ,muodollisuus/NOUN
tunnetuimmista/ADJ,suomalaisista/ADJ,elokuvista/NOUN
useilla/ADJ,eri/ADJ,lähestymistavoilla/NOUN
riittäviä/ADJ,taloudellisia/ADJ,resursseja/NOUN
kattavia/ADJ,kansallisia/ADJ,kotouttamisstrategioita/NOUN
dynaaminen/ADJ,kaksisuuntainen/ADJ,prosessi/NOUN
tuleviin/ADJ,monivuotisiin/ADJ,ohjelmiin/NOUN
uudet/ADJ,maailmanlaajuiset/ADJ,säännöt/NOUN
tiettyjä/ADJ,täydentäviä/ADJ,säännöksiä/NOUN
välittömät/ADJ,taloudelliset/ADJ,tarpeet/NOUN
välittömistä/ADJ,taloudellisista/ADJ,tarpeista/NOUN
suurin/ADJ,sallittu/ADJ,massa/NOUN
suurimmalla/ADJ,sallitulla/ADJ,massalla/NOUN
tehokkaan/ADJ,alueellisen/ADJ,koodauksen/NOUN
lopullinen/ADJ,VIHREÄ/ADJ,KIRJA/NOUN
EDELTÄVÄT/ADJ,POLIITTISET/ADJ,PÄÄTÖKSET/NOUN
tietynasteinen/ADJ,keskitetty/ADJ,koordinointi/NOUN
laajan/ADJ,julkisen/ADJ,keskustelun/NOUN
sellaisessa/ADJ,taloudellisessa/ADJ,ympäristössä/NOUN
kaikentyyppisiin/ADJ,vertikaalisiin/ADJ,sopimuksiin/NOUN
mahdollisten/ADJ,taloudellisten/ADJ,vaikutusten/NOUN
kaikentyyppisiä/ADJ,vertikaalisia/ADJ,sopimuksia/NOUN
sellaisten/ADJ,luonnollisten/ADJ,henkilöiden/NOUN
myöhemmistä/ADJ,merkittävistä/ADJ,mukautuksista/NOUN
soveltuvaa/ADJ,kolmatta/ADJ,maata/NOUN
kyseinen/ADJ,alhaisempi/ADJ,määrä/NOUN
uuden/ADJ,yhteisen/ADJ,järjestelmän/NOUN
sellaisesta/ADJ,kolmannesta/ADJ,maasta/NOUN
Soveltuva/ADJ,kolmas/ADJ,maa/NOUN
asianmukaisen/ADJ,institutionaalisen/ADJ,kehyksen/NOUN
tärkein/ADJ,tekninen/ADJ,seurantajärjestelmä/NOUN
keskeisten/ADJ,kansainvälisten/ADJ,yleissopimusten/NOUN
uusia/ADJ,merkittäviä/ADJ,muutoksia/NOUN
toimivaltaisilta/ADJ,kansallisilta/ADJ,viranomaisilta/NOUN
asianomaiselle/ADJ,kansalliselle/ADJ,keskuspankille/NOUN
moninaisilla/ADJ,kirkkailla/ADJ,väreillä/NOUN
Leikilliset/ADJ,akateemiset/ADJ,kepposet/NOUN
kirpeän/ADJ,asiaankuuluvan/ADJ,pakkassään/NOUN
suurin/ADJ,vuosittainen/ADJ,ponnistus/NOUN
tietyn/ADJ,kriittisen/ADJ,rajan/NOUN
raikkaan/ADJ,esijälkiruokaisan/ADJ,nablameloniyllätyksen/NOUN
varsinaisia/ADJ,moraalisia/ADJ,ulottuvuuksia/NOUN
useita/ADJ,erilaisia/ADJ,kynnyksiä/NOUN
modernista/ADJ,länsimaalaisesta/ADJ,kulttuurista/NOUN
jälkimodernissa/ADJ,länsimaalaisessa/ADJ,yhteiskunnassa/NOUN
mielenkiintoista/ADJ,arkkitehtonista/ADJ,dialogia/NOUN
Yhdysvaltalainen/ADJ,poliittinen/ADJ,ajattelu/NOUN
uudesta/ADJ,maailmanlaajuisesta/ADJ,alamäestä/NOUN
pieniä/ADJ,paikallisia/ADJ,ongelmia/NOUN
sellaisia/ADJ,yhteiskuntapoliittisia/ADJ,uudistuksia/NOUN
Oma/ADJ,varma/ADJ,kikkani/NOUN
useista/ADJ,maksamattomista/ADJ,laskuista/NOUN
kielteisiin/ADJ,kognitiivisiin/ADJ,vaikutuksiin/NOUN
vihreiden/ADJ,jättimäisten/ADJ,nuuskapussien/NOUN
uutta/ADJ,huolestuttavaa/ADJ,tietoa/NOUN
Raikas/ADJ,Kevyt/ADJ,Olo/NOUN
useat/ADJ,eri/ADJ,laitevalmistajat/NOUN
mahtavasta/ADJ,ranskalaistyylisestä/ADJ,lounaasta/NOUN
merkittäviä/ADJ,rakenteellisia/ADJ,muutoksia/NOUN
arvostettu/ADJ,saksalainen/ADJ,Spiegel-lehti/NOUN
tiukempi/ADJ,taloudellis-poliittinen/ADJ,yhdentyminen/NOUN
yhteistä/ADJ,finanssipoliittista/ADJ,kykyä/NOUN
johtavan/ADJ,poliittisen/ADJ,kommentaattorin/NOUN
ison/ADJ,talousmaantieteellisen/ADJ,muutoksen/NOUN
Suurimman/ADJ,yksittäisen/ADJ,rahoituksen/NOUN
Nudet/ADJ,basic/ADJ,korkkarit/NOUN
Tällaiselle/ADJ,lyhyehkölle/ADJ,ihmiselle/NOUN
määrätietoinen/ADJ,nuori/ADJ,humanisti/NOUN
kotimainen/ADJ,kaunokirjallinen/ADJ,teos/NOUN
menestyksekästä/ADJ,tieteellistä/ADJ,työskentelyä/NOUN
laadukasta/ADJ,varsinaissuomalaista/ADJ,opetus-/NOUN
omaan/ADJ,ammatilliseen/ADJ,kehittymiseensä/NOUN
yhteinen/ADJ,alueellinen/ADJ,tehtävämme/NOUN
koko/ADJ,suomalaiselle/ADJ,lääkekehitykselle/NOUN
usean/ADJ,eri/ADJ,alan/NOUN
oma/ADJ,erityinen/ADJ,asemansa/NOUN
todellinen/ADJ,seuraava/ADJ,askel/NOUN
moderneissa/ADJ,monikulttuurisissa/ADJ,yhteiskunnissa/NOUN
sellaiseen/ADJ,yhteiskunnalliseen/ADJ,tilaan/NOUN
liberaaleissa/ADJ,autonomisissa/ADJ,yhteiskunnissa/NOUN
ensimmäinen/ADJ,julkinen/ADJ,esiintyminen/NOUN
uusiin/ADJ,mielenkiintoisiin/ADJ,tutkimustehtäviin/NOUN
puustoisista/ADJ,sisäsaaristomaisista/ADJ,saarista/NOUN
omaa/ADJ,hyvää/ADJ,makuaan/NOUN
Viimeinen/ADJ,pysyvä/ADJ,asukas/NOUN
englantilaisessa/ADJ,Radiohead-nimisessä/ADJ,yhtyeessä/NOUN
aikaisemmista/ADJ,nationalistisista/ADJ,arvoista/NOUN
kansainvälistä/ADJ,vapaata/ADJ,markkinataloutta/NOUN
ns./ADJ,uudeksi/ADJ,oikeistoksi/NOUN
eurooppalaisessa/ADJ,poliittisessa/ADJ,ajattelussa/NOUN
Nykyinen/ADJ,poliittinen/ADJ,kiista/NOUN
tunnettu/ADJ,jouluaiheinen/ADJ,kappale/NOUN
paikallisten/ADJ,turkkilaisten/ADJ,kielten/NOUN
iranilaisvaikutteisiin/ADJ,karlukkilais-uiguurilaisiin/ADJ,murteisiin/NOUN
nk./ADJ,kuolematon/ADJ,peli/NOUN
useita/ADJ,nuoria/ADJ,miehiä/NOUN
Vanhemmat/ADJ,historialliset/ADJ,saunat/NOUN
tosiasiallisen/ADJ,julkisen/ADJ,vallan/NOUN
italialainen/ADJ,entinen/ADJ,jalkapalloilija/NOUN
Valkosipuliset/ADJ,omenaiset/ADJ,porsaankyljykset/NOUN
suomalainen/ADJ,entinen/ADJ,pikajuoksija/NOUN
